"League","Year","Season","Type","blueTeamTag","bResult","rResult","redTeamTag","gamelength","bInhibs","bDragons","bBarons","bHeralds","rInhibs","rDragons","rBarons","rHeralds","blueTop","blueTopChamp","blueJungle","blueJungleChamp","blueMiddle","blueMiddleChamp","blueADC","blueADCChamp","blueSupport","blueSupportChamp","redTop","redTopChamp","redJungle","redJungleChamp","redMiddle","redMiddleChamp","redADC","redADCChamp","redSupport","redSupportChamp","Address"
"CBLoL","2016","Spring","Season","PNG","1","0","ITZ","32","[[31.295, 'MID_LANE']]","[[23.425, None], [9.174, None]]","[]","[]","[]","[[17.043, None], [29.549, None]]","[]","[[11.793]]","Mylon","Malphite","SirT","Rengar","Kami","Lulu","brTT RX","Lucian","Picoca","Braum","Yang","Fiora","Revolta","Elise","tockers","Kassadin","micaO","Kalista","Jockster","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1200071?gameHash=6a45eae43b2cf29c"
"CBLoL","2016","Spring","Season","ITZ","1","0","PNG","29","[[28.314, 'TOP_LANE']]","[[11.145, None], [23.57, None], [17.338, None]]","[[26.456]]","[]","[]","[]","[]","[[17.314]]","Yang","Ryze","Revolta","Trundle","tockers","Leblanc","micaO","Kalista","Jockster","Thresh","Mylon","Kassadin","SirT","RekSai","Kami","Zyra","brTT RX","Ezreal","Picoca","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1200074?gameHash=c5b8c03b72826c7d"
"CBLoL","2016","Spring","Season","CNB","0","1","OPK","74","[[68.77, 'TOP_LANE'], [56.401, 'BOT_LANE'], [68.522, 'BOT_LANE'], [56.445, 'TOP_LANE'], [64.005, 'MID_LANE']]","[[65.996, None], [46.478, None], [59.896, None], [32.305, None], [38.477, None]]","[[35.169], [51.517], [58.857]]","[[13.724]]","[[72.995, 'MID_LANE']]","[[11.455, None], [24.909, None], [72.693, None], [53.617, None], [17.948, None]]","[[66.202]]","[]","Aoshi","DrMundo","Nappon","RekSai","YoDa SL","Ezreal","pbO","Corki","Wos","Trundle","SkyBart","Lissandra","Zuao","Elise","Goku","Viktor","Theusma","MissFortune","Professor","Braum","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1190108?gameHash=e3f28a4e5a7174b1"
"CBLoL","2016","Spring","Season","OPK","1","0","CNB","43","[[39.609, 'MID_LANE']]","[[38.664, None]]","[[37.343], [27.713]]","[]","[[32.121, 'MID_LANE']]","[[12.174, None], [25.172, None], [18.924, None], [32.53, None]]","[]","[[17.98]]","SkyBart","Ryze","Zuao","Ekko","Goku","Lulu","Theusma","Lucian","Professor","Poppy","Aoshi","Olaf","Nappon","Elise","YoDa SL","Azir","pbO","Tristana","Wos","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1200092?gameHash=b555426c35bdf4ac"
"CBLoL","2016","Spring","Season","VFK","1","0","g3x","45","[[42.94, 'MID_LANE'], [28.09, 'MID_LANE'], [41.483, 'TOP_LANE'], [37.478, 'MID_LANE']]","[[35.791, None], [42.327, None], [16.793, None], [23.309, None]]","[[37.063]]","[[19.009]]","[]","[[29.639, None]]","[[27.283]]","[]","Robo","TahmKench","Turtle","RekSai","takeshi","Lissandra","esA","Tristana","Baiano","Alistar","Zantins","Fiora","Snowlz","Elise","TaeYeon","Morgana","Skyer","Ezreal","Alocs","Trundle","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1190126?gameHash=25db80fe8f831a57"
"CBLoL","2016","Spring","Season","KBM","0","1","RED","45","[]","[[24.614, None], [17.933, None]]","[]","[]","[[42.322, 'BOT_LANE'], [40.823, 'TOP_LANE'], [34.352, 'BOT_LANE'], [30.428, 'TOP_LANE']]","[[11.011, None], [37.961, None], [31.796, None]]","[[34.281]]","[[12.126]]","LEP","Lulu","Minerva","Gragas","tinowns","Viktor","Matsukaze","MissFortune","Ziriguidun","Alistar","Ayel","Zed","Caos","DrMundo","Brucer","Lissandra","SacyR","Tristana","Eryon","Thresh","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1200148?gameHash=204626fb0e753477"
"CBLoL","2016","Spring","Season","RED","0","1","KBM","25","[]","[[12.408, None]]","[]","[]","[[24.118, 'TOP_LANE'], [20.428, 'BOT_LANE']]","[]","[[23.262]]","[[17.308], [11.677]]","Ayel","Fiora","Caos","Trundle","Brucer","Viktor","SacyR","Tristana","Eryon","Alistar","LEP","Lissandra","Minerva","RekSai","tinowns","Leblanc","Matsukaze","Kalista","Ziriguidun","Thresh","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1190142?gameHash=966761ce543ea7f1"
"CBLoL","2016","Spring","Season","RED","0","1","ITZ","45","[]","[]","[]","[]","[[33.505, 'TOP_LANE'], [43.919, 'MID_LANE']]","[[30.577, None], [15.977, None], [24.437, None], [36.799, None]]","[[32.435]]","[[12.029], [18.457]]","Ayel","Olaf","Caos","Elise","Brucer","Lulu","SacyR","Twitch","Eryon","TahmKench","Yang","Ryze","Revolta","RekSai","tockers","Corki","micaO","Lucian","Jockster","Poppy","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1210045?gameHash=cbb08c0af03d36eb"
"CBLoL","2016","Spring","Season","ITZ","1","0","RED","41","[[39.083, 'MID_LANE'], [40.517, 'BOT_LANE']]","[[14.374, None], [28.269, None]]","[[38.431]]","[]","[]","[[21.74, None], [34.518, None]]","[[29.126]]","[[18.865], [11.933]]","Yang","Ryze","Revolta","Elise","tockers","Corki","micaO","Lucian","Jockster","Alistar","Ayel","Riven","Caos","Graves","Brucer","Morgana","SacyR","Kalista","Eryon","Trundle","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1220034?gameHash=2961d1bade54b509"
"CBLoL","2016","Spring","Season","VFK","1","0","CNB","47","[[33.798, 'MID_LANE'], [45.808, 'MID_LANE']]","[[11.357, None], [31.9, None], [25.459, None]]","[]","[]","[[42.678, 'MID_LANE']]","[[38.855, None], [18.086, None]]","[[33.251]]","[]","Robo","Poppy","Turtle","Elise","takeshi","Leblanc","esA","Corki","Baiano","Morgana","Aoshi","Fiora","Nappon","RekSai","YoDa SL","Cassiopeia","pbO","Kalista","Wos","Alistar","http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1220047?gameHash=e0b6836b8a288160"
